4 | 8 ,  0.118 , 0.118 , 0.365 , 0.235
4 | 16 ,  0.104 , 0.104 , 0.417 , 0.277
4 | 24 ,  0.175 , 0.175 , 0.424 , 0.343
4 | 32 ,  0.204 , 0.204 , 1.132 , 1.146
4 | 40 ,  0.254 , 0.254 , 0.514 , 0.604
4 | 48 ,  0.258 , 0.258 , 0.825 , 1.444
8 | 8 ,  0.243 , 0.311 , 0.948 , 1.06
8 | 16 ,  0.277 , 0.357 , 0.475 , 0.571
8 | 24 ,  0.272 , 0.331 , 0.938 , 0.573
8 | 32 ,  0.196 , 0.264 , 0.38 , 0.315
8 | 40 ,  0.212 , 0.308 , 0.388 , 0.718
8 | 48 ,  0.104 , 0.202 , 0.833 , 0.386
16 | 8 ,  0.098 , 0.148 , 0.279 , 0.239
16 | 16 ,  0.1 , 0.193 , 0.311 , 0.411
16 | 24 ,  0.12 , 0.275 , 0.617 , 0.525
16 | 32 ,  0.222 , 0.344 , 0.531 , 0.761
16 | 40 ,  0.301 , 0.491 , 0.82 , 0.781
16 | 48 ,  0.248 , 0.359 , 0.669 , 0.724
32 | 8 ,  0.509 , 0.703 , 1.014 , 1.222
32 | 16 ,  0.421 , 0.623 , 0.767 , 0.856
32 | 24 ,  0.469 , 0.565 , 0.659 , 1.052
32 | 32 ,  0.44 , 0.644 , 0.785 , 0.971
32 | 40 ,  0.409 , 0.688 , 0.776 , 0.664
32 | 48 ,  0.461 , 0.616 , 0.862 , 0.812
64 | 8 ,  0.358 , 0.575 , 0.473 , 0.594
64 | 16 ,  0.531 , 0.747 , 0.742 , 0.83
64 | 24 ,  0.547 , 0.797 , 0.858 , 0.875
64 | 32 ,  0.556 , 0.788 , 0.756 , 0.888
64 | 40 ,  0.567 , 0.714 , 0.904 , 0.844
64 | 48 ,  0.612 , 0.797 , 0.856 , 0.899
c, 0.313 , 0.432 , 0.677 , 0.721
